"columns","Missing_Percentage"
"var_0",0
"var_1",0
"var_2",0
"var_3",0
"var_4",0
"var_5",0
"var_6",0
"var_7",0
"var_8",0
"var_9",0
"var_10",0
"var_11",0
"var_12",0
"var_13",0
"var_14",0
"var_15",0
"var_16",0
"var_17",0
"var_18",0
"var_19",0
"var_20",0
"var_21",0
"var_22",0
"var_23",0
"var_24",0
"var_25",0
"var_26",0
"var_27",0
"var_28",0
"var_29",0
"var_30",0
"var_31",0
"var_32",0
"var_33",0
"var_34",0
"var_35",0
"var_36",0
"var_37",0
"var_38",0
"var_39",0
"var_40",0
"var_41",0
"var_42",0
"var_43",0
"var_44",0
"var_45",0
"var_46",0
"var_47",0
"var_48",0
"var_49",0
"var_50",0
"var_51",0
"var_52",0
"var_53",0
"var_54",0
"var_55",0
"var_56",0
"var_57",0
"var_58",0
"var_59",0
"var_60",0
"var_61",0
"var_62",0
"var_63",0
"var_64",0
"var_65",0
"var_66",0
"var_67",0
"var_68",0
"var_69",0
"var_70",0
"var_71",0
"var_72",0
"var_73",0
"var_74",0
"var_75",0
"var_76",0
"var_77",0
"var_78",0
"var_79",0
"var_80",0
"var_81",0
"var_82",0
"var_83",0
"var_84",0
"var_85",0
"var_86",0
"var_87",0
"var_88",0
"var_89",0
"var_90",0
"var_91",0
"var_92",0
"var_93",0
"var_94",0
"var_95",0
"var_96",0
"var_97",0
"var_98",0
"var_99",0
"var_100",0
"var_101",0
"var_102",0
"var_103",0
"var_104",0
"var_105",0
"var_106",0
"var_107",0
"var_108",0
"var_109",0
"var_110",0
"var_111",0
"var_112",0
"var_113",0
"var_114",0
"var_115",0
"var_116",0
"var_117",0
"var_118",0
"var_119",0
"var_120",0
"var_121",0
"var_122",0
"var_123",0
"var_124",0
"var_125",0
"var_126",0
"var_127",0
"var_128",0
"var_129",0
"var_130",0
"var_131",0
"var_132",0
"var_133",0
"var_134",0
"var_135",0
"var_136",0
"var_137",0
"var_138",0
"var_139",0
"var_140",0
"var_141",0
"var_142",0
"var_143",0
"var_144",0
"var_145",0
"var_146",0
"var_147",0
"var_148",0
"var_149",0
"var_150",0
"var_151",0
"var_152",0
"var_153",0
"var_154",0
"var_155",0
"var_156",0
"var_157",0
"var_158",0
"var_159",0
"var_160",0
"var_161",0
"var_162",0
"var_163",0
"var_164",0
"var_165",0
"var_166",0
"var_167",0
"var_168",0
"var_169",0
"var_170",0
"var_171",0
"var_172",0
"var_173",0
"var_174",0
"var_175",0
"var_176",0
"var_177",0
"var_178",0
"var_179",0
"var_180",0
"var_181",0
"var_182",0
"var_183",0
"var_184",0
"var_185",0
"var_186",0
"var_187",0
"var_188",0
"var_189",0
"var_190",0
"var_191",0
"var_192",0
"var_193",0
"var_194",0
"var_195",0
"var_196",0
"var_197",0
"var_198",0
"var_199",0
